url,title,locate,tag,numOfPeople,totalMoney,percentage,author,date
https://www.kaishiba.com/project/detail/id/77F3151EB12AE407E050190AFD013E81,冬令进补，为你把二十四节气的关怀送到你爱的人身边,杭州市,农业,36,62396,3119.80,竺啸恒,2018年10月24日
https://www.kaishiba.com/project/detail/id/78430011CE931BB8E050190AFD01600C,一群人，一辈子，只为解决一个头部问题,北京市,休闲,13,630000,63000.00,吴庆辉,2018年10月23日
https://www.kaishiba.com/project/detail/id/739A136B443BEB0BE050190AFD012B85,Darling，香薰是我秘而不宣的另一面,朝阳区,休闲,117,80332,8033.20,熊若君,2018年10月23日
https://www.kaishiba.com/project/detail/id/783CB69DA276C674E050190AFD012E49,从庙堂到江湖，《我在故宫修文物》姊妹篇来了,杭州市,休闲,398,49705,994.10,萧寒,2018年10月23日
https://www.kaishiba.com/project/detail/id/6EABCEE37D1BB527E050190AFD017696,袁隆平亲题“中国黄花菜之乡”，这口黄花菜提了满桌的鲜,衡阳市,农业,507,52848,2642.40,周军,2018年10月20日
https://www.kaishiba.com/project/detail/id/730F0BA2BB836253E050190AFD014E5E,每天8W人排队打卡，迪士尼边让你梦回童年,浦东新区,酒店,40,1360001,1360.00,王志超,2018年10月19日
https://www.kaishiba.com/project/detail/id/6E55364CBA8B66E6E050190AFD011EAF,Beauty kei，让漂亮这件事儿回归简单和天然,昆明市,休闲,31,95568,9556.80,王艳,2018年10月19日
https://www.kaishiba.com/project/detail/id/76E9A5892F6B021FE050190AFD014623,面朝大海，吃住一体，宅这里又来了！,厦门市,民宿,173,5016001,10032.00,郑少琼,2018年10月18日
https://www.kaishiba.com/project/detail/id/75B66D65110E3675E050190AFD015881,100%好评率的秘密，藏在松赞林寺旁的小院里,迪庆藏族自治州,酒店,85,1800001,1800.00,容立红,2018年10月18日
https://www.kaishiba.com/project/detail/id/6C4C56DBDFAD31DEE050190AFD017267,打造泛电影娱乐私人空间，梦想空间带你进入观影2.0时代,上海市,休闲,29,825001,1650.00,冯启耀,2018年10月18日
https://www.kaishiba.com/project/detail/id/70DC97489A38300EE050190AFD014820,小小特工引入全息智能设备，打造1-12岁一站式运动培训体系,上海市,休闲,13,600002,1200.00,田新建,2018年10月17日
https://www.kaishiba.com/project/detail/id/77DE9DF984034AC0E050190AFD011F4D,1538软黄金羊绒衣，好莱坞明星都爱穿它,广州市,休闲,148,175442,3508.84,韩滨,2018年10月17日
https://www.kaishiba.com/project/detail/id/76DB0AF0614C25EAE050190AFD0125BC,TFS开启密室3.0娱乐时代，王思聪、谢娜、贾玲纷纷打卡,朝阳区,休闲,51,2350000,4700.00,满毅,2018年10月16日
https://www.kaishiba.com/project/detail/id/76D27FA3415CFF35E050190AFD0115BA,在神田川，寻找属于你的美味N次方,杭州市,餐饮,11,3184000,63680.00,林晨,2018年10月12日
https://www.kaishiba.com/project/detail/id/77C6C703A2D26085E050190AFD016B02,愿你我锈迹斑斑，还走在最初的路上,珠海市,休闲,41,36095,1203.17,程美慧,2018年10月12日
https://www.kaishiba.com/project/detail/id/747B7E6E4BE981C8E050190AFD017211,把诗画山水玩出极限挑战，把世间百味变出舌尖中国，只在这里！,桂林市,民宿,116,4410005,4410.01,何君忠,2018年10月11日
https://www.kaishiba.com/project/detail/id/74B848A032282AB7E050190AFD01669D,京城甜点排行榜top3，置身花店享受高颜值健康甜品,朝阳区,餐饮,120,3240002,6480.00,童欣,2018年10月11日
https://www.kaishiba.com/project/detail/id/73D98B86C78A8BB7E050190AFD013EA5,房间有彩虹，食物会漂浮，厦门这家科幻风的酒店太不可思议！,厦门市,民宿,46,4961909,4961.91,杨阳,2018年10月10日
https://www.kaishiba.com/project/detail/id/76C0998F611D6141E050190AFD015E74,吸猫美食两不误，王源、胡杏儿等众多明星纷纷打卡,朝阳区,餐饮,120,5662797,11325.59,席树婷,2018年10月10日
https://www.kaishiba.com/project/detail/id/7543CAB0E2B6792DE050190AFD0142EE,沿着海岸线，思奔在深圳的另一面,深圳市,民宿,98,1560002,3120.00,冯锐,2018年10月10日
https://www.kaishiba.com/project/detail/id/72FE5B84E193A3BDE050190AFD015F3F,23年开1000+店，一起来创造酒店新传奇,舟山市,酒店,221,5505005,5505.01,张立秦,2018年10月09日
https://www.kaishiba.com/project/detail/id/72EA82404E011F34E050190AFD0167A4,文青晒单必备，国啤良心从废墟开始,成都市,餐饮,64,7460,746.00,张仁波,2018年10月09日
https://www.kaishiba.com/project/detail/id/7543CAB0E29E792DE050190AFD0142EE,用这只被央视推荐的大闸蟹，满足你对金秋蟹宴的一切幻想,南京市,农业,170,678594,67859.40,储惜洲,2018年10月05日
https://www.kaishiba.com/project/detail/id/745A3A4B84AB9F3BE050190AFD0174AF,九珍云南，藏在滇池旁的山珍好味,昆明市,餐饮,167,5080003,10160.01,李兆西,2018年09月29日
