title,locate,tag,numOfPeople,totalMoney,percentage,author
Chotto，藏在深圳的美食花园,深圳市,餐饮,108,1070001,2140.00,李素
聪慧也可以不绝顶，美丽从头开始,北京市,休闲,108,40496,4049.60,吴庆辉
这颗撕着吃的红心火龙果里，藏着淡淡玫瑰香,金华市,农业,64,9630,963.00,汤湘濡
不一样的丽江古城，不一样的香叙美宿,丽江市,民宿,88,1977503,3955.01,许敏奇
BrewBear智能精酿吧，打造开店新概念！,长宁区,餐饮,39,2652000,5304.00,黄竞进
入围金堂奖设计酒店，飞鸟集打造年轻人的一站式服务,南昌市,酒店,51,3200011,6400.02,杨帆
3年开出13家酒店，维也纳“一哥”带你席卷侨乡,南宁市,酒店,41,2140004,2140.00,李东军
在鄂西秘境，隐于山水，6个知己，就是一整个茶书江湖,恩施土家族苗族自治州,民宿,101,2415003,4830.01,黄秋珍
洛川红富士苹果，来自苹果之乡的真正好味道,延安市,农业,85,42036,840.72,李鹏娜
这栋3400平的海边大别墅，提供三亚度假的100种生活,三亚市,民宿,90,2044062,4088.12,潘微
这个秋天，让我带你品尝真正的五常大米！,哈尔滨市,农业,300,128041,2560.82,孙铭瑶
千年木渎，苏式建筑，用高新技术引领未来居住,苏州市,民宿,97,4110055,4110.06,胡建光
1亿会员加持的桔子酒店，遇上北上海最大商业综合体,虹口区,酒店,140,6515603,6515.60,杨斌
张艺谋倾心，好莱坞钦定，中国地理都打卡之地，有一个艺术家村落,武隆区,民宿,50,1470001,1470.00,颜军
关茶，关于抹茶的一万种可能,朝阳区,休闲,731,2950757,59015.14,小关
长白山脉有一颗等待你的神草人参,通化市,农业,7,7129,14.26,于丛龙
山之巅，林之间，有一片你我心中向往的梦田,宁德市,农业,28,116276,5813.80,唐振
来吧，一口吃下两千年,长沙市,农业,83,2612338,261233.80,何洁
在“绿色仙境”李八姑后代带领千户茶农造就6000亩茶园！,恩施土家族苗族自治州,农业,40,1140063,1140.06,刘小英
多喝水，喝海水,广州市,休闲,52,407204,20360.20,陈涛
做即食海鲜的领跑者，渔人小胖，让吃顿海鲜很简单,烟台市,农业,167,1135261,113526.10,王国明
吃一口让你大喊“Amazing”的正泰，又双叒来了！,北京市,餐饮,123,4575008,4575.01,刘明明
把高级定制做到专利，难怪吴秀波也爱她,广州市,休闲,60,590001,1180.00,于士红
百部影视剧取景地，大师们手工复原了百年前的豪宅,台州市,民宿,98,6850012,6850.01,赵舒佳
撩你，有这一腿就够了，Sea Spa美腿馆再次来袭！,西安市,休闲,35,8050000,805000.00,雷雨
十月里，给金秋一场甜甜的“蟹”逅,南京市,农业,10,28882,2888.20,李云珍
这一袋地瓜干，红遍日本和韩国,龙岩市,农业,114,1720015,3440.03,钱师杰
挑战第14座8000米高峰，致敬平凡生活的英雄主义,日喀则市,休闲,326,96615,1932.30,刘震东
「珠宝+咖啡」，轻奢主义者的生活空间,昆明市,休闲,110,1460003,1460.00,张淑娟
张艺谋作品《影》联名款，用一颗流心月饼震撼你的味蕾！,上海市,休闲,181,66229,1324.58,蒙莎
厦一站，在海边时光漫步,厦门市,民宿,65,1176051,1176.05,雷鑫
这只自带榫卯结构的马克杯，让喝水饮茶的每个瞬间都变有趣,福州市,休闲,100,33594,3359.40,马海亦
入住率101，第五代酒店来袭，酒店「地王」捕手下一个爆款是？,成都市,民宿,107,5000007,5000.01,陈庆贵
疯辣，首创爆款“小熊锅底”，更是100万+火锅爱好者的聚集地,杭州市,餐饮,86,2766013,1383.01,张雷
全国第一家蛋雕主题客栈，在准5A景区铜官窑古镇内，等你来翻牌,长沙市,民宿,54,2175001,2175.00,黄晖
承包年游客收益13亿+的山头？「宿树」要领跑整个川北民宿,广元市,民宿,45,1743003,1743.00,邢程
来自日本的阳光玫瑰，被称为葡萄界的爱马仕,杭州市,农业,38,133520,2670.40,程小平
后海的老北京四合院+高端黑科技酒店，试营业入住率93%？,北京市,民宿,169,8448003,8448.00,钟铠臣
你不是第二个谁，恒丽医美，让你做自己,杭州市,休闲,106,4473024,4473.02,郑慧佳
海南泰甜蜜，水果很好吃,陵水黎族自治县,农业,196,7280010,7280.01,苏志宏
1年卖1.5亿的优质床品，正在掀起“裸睡风暴”,宁波市,休闲,230,3864346,77286.92,王治全
这个可以触摸天堂的地方，藏着接待率90%的秘密,迪庆藏族自治州,休闲,23,755005,755.00,和魁红
27年餐饮老炮打造的火锅王国，用特色龙虾锅征服你,北京市,餐饮,83,2412503,2412.50,郑赏爽
「三勒浆小绿瓶」全网首发，曾经的备考神器，现在的疲劳救星,成都市,休闲,135,1226902,61345.10,陈奕帆
用24个塑料瓶做的包包这么潮？连可口可乐壹基金都来了！,徐汇区,休闲,208,41705,834.10,黄宁宁
他土法养蟹34年，送到你餐桌上的大闸蟹，只只膏满肉肥,苏州市,农业,118,29311,586.22,鲍建康
除了西子湖畔，西湖区居然还藏着城市最近的农耕生活,杭州市,民宿,101,2745011,2745.01,傅丽萍
一站式人宠互动王国，打造宠物书咖新模式,杭州市,休闲,46,690826,6908.26,林敏
《世间所有的无眠，都是因为睡错了风景》,杭州市,休闲,751,44426,14808.67,夏雨清
轻奢精品连锁酒店维也纳，给你在拉萨安了一个家,拉萨市,酒店,42,2541001,2541.00,王书瑞
3年300+门店，单日营业额突破7万，九田家烧肉魔都新选择,浦东新区,餐饮,58,3360002,6720.00,杨安
在重新定义成都生活方式的太古里，私飨正打造着川菜之美,成都市,餐饮,121,3150001,3150.00,姚舒
270°的稻田、山水一色的湖泊、睡进理想生活的床，在青丘,文山壮族苗族自治州,民宿,97,4740018,4740.02,柯有锐
也只有在厦门，觅见这样的甜美,厦门市,民宿,155,5850000,5850.00,赵冬冬
半岛摄影14年，撰写行业白皮书，记录120万家庭孕童美妙瞬间,南京市,休闲,14,324000,648.00,巫海峰
4亿人流量的太古里，他用奢华的公寓给你精致生活,成都市,民宿,94,4083040,4083.04,滕飞
北海之南，有一栋海边的大房子,北海市,民宿,152,4090003,4090.00,陈祖纯
苏渔水产，激活阳澄湖大闸蟹产业链,苏州市,农业,33,229462,22946.20,顾敏杰
在耍都的宇宙中心春熙路上，他装下了一个“千面”成都,成都市,酒店,47,2230801,2230.80,文小兵
连南宋皇帝都种草的宫廷糕点，精致到不舍得入口,金华市,餐饮,151,7550000,755000.00,王伟华
高山荒野的茶香，落入浴缸中,丽水市,休闲,246,108887,10888.70,杨慧娟
铂涛IU，入驻帝都老街里的年轻酒店品牌，住过的人都说值,北京市,酒店,131,8175001,8175.00,王睿斌
唤醒时光里的配得感，回归艺术珠宝的温度,成都市,休闲,54,2050060,2050.06,杨紫葳
3年18店，这家被蒂芙尼蓝填满的美甲店，要做美甲圈“优衣库”,杭州市,休闲,68,1470794,735.40,常虹
这个网神很不一样，跟电竞玩在一起,海口市,休闲,13,328001,328.00,黄勇兵
广东除了妃子笑，还有一口难忘滋味的黄金奈李,韶关市,农业,16,36888,3688.80,林根财
理工男的匠心坚持，喝羊奶长大的大荔冬枣,渭南市,农业,221,97498,9749.80,李伟东
成功经营4家公司的尚学社，又被粉丝追着开民宿？,西安市,民宿,103,2162301,2162.30,刘若琦
湘东米酒，慰藉异乡闯荡的你,衡阳市,农业,97,41563,4156.30,陈合林
一方让焦裕禄魂牵梦绕的土地，如今已瓜果飘香,开封市,农业,80,2650015,2650.02,杨超飞
小孩才炫logo，大人只穿订制,杭州市,休闲,20,263194,2631.94,王旭卿
一家可以吃火锅的健身房，让健身不再反人性,杭州市,休闲,23,710208,355.10,韩洋
2年新氧0差评记录，芬迪要打造长三角大众医美连锁品牌,杭州市,休闲,49,1332001,1332.00,李阿友
中央工厂冷链配送，U.ME CAKE定制你的专属甜蜜,上海市,餐饮,67,1625002,3250.00,陈筱裕
北居无界，拥一座自己的“山城”,北碚区,民宿,28,577560,577.56,彭玉兰
松茸——生活在丽江安盛庄园里无可复制的森林精灵,丽江市,农业,37,2202661,73422.03,李兆西
听昆曲绝唱，品巴城名肴，金秋十月，肥蟹围城,苏州市,农业,33,54858,548.58,洪赛
下一个即将刷爆魔都的“破”酒店，前身竟是造船厂！,黄浦区,民宿,262,8835741,8835.74,有在•伍合伙人
未来食物「液体便当」来了！3分钟搞定吃饭这件小事,杭州市,休闲,476,1072377,21447.54,伯恩
月均接待1.2万+的他湘遇见你，让你在魔都品尝湖南正宗美味,上海市,餐饮,113,5880006,5880.01,冯绘霖
如花美宿，为城市旅人留一盏灯,广州市,酒店,57,1170001,2340.00,苏焕仪
每一个不甘平庸的人，都应该有一件自己的柴烧,无锡市,休闲,29,59791,1195.82,车继明
帝都五星级慢病养生中心，每一次调理都是对健康的呵护,北京市,休闲,53,178251,17825.10,董明辉
小红书、抖音都在安利，刷爆朋友圈的比邻要开第二家民宿了！,三亚市,民宿,131,4950010,4950.01,但敏
岁月从不败美人，熙之让医美回归医疗本质,成都市,休闲,78,3042000,2535.00,程海钦
28800秒的滴滴萃取， 给你一个开袋即享的清凉夏日！,上海市,餐饮,80,10243,1024.30,侯永璞
连俞敏洪先生都支持的沙米，正在让沙漠变成绿洲,通辽市,农业,120,207485,207.49,滕学军
这片薰衣草庄园，藏着紫色大海的传说,泰州市,休闲,49,1210000,1210.00,申晓明
藏在四方街旁的“食宿”综合体，造一方月上的家,丽江市,民宿,250,2862108,2862.11,蔡蔚
顾客回头率80%的泰悠然，带你探索魔都五星评分的SPA馆,黄浦区,休闲,128,7800009,7800.01,苏文星
从影视艺人到拉面匠人，十八年坚守，漂洋过海而来的明星拉面馆,上海市,餐饮,93,2200203,4400.41,张杰
广州人爱吃的一碗牛杂，就叫容老爷,广州市,餐饮,50,325000,650.00,容慧婷
一盏马灯酒，照亮夜行人,遵义市,餐饮,11,232528,4650.56,陈剑波
卖银12年，银器就是我的语言,南京市,休闲,17,129400,2588.00,姜炤
甜蜜蜜火龙果，“甜补”红火间的静谧,河源市,农业,49,3537,176.85,黄启明
68年传统的宝海酿造，用纯天然资源创造世界名酒,上海市,农业,35,103022,10302.20,林志鲜
在深圳，IH就是美红！,深圳市,餐饮,151,2010000,2010.00,邹斯勃
在陶渊明的世外桃源里，筑造一方休憩地,文山壮族苗族自治州,酒店,27,345045,345.05,刘海燕
步行1分钟即达5A级景区西塘古镇，他让客人居住在艺术馆里！,嘉兴市,酒店,52,3880005,7760.01,陈晓翔
这群骄傲的木匠要把专业的共享木工坊带到武汉,武汉市,休闲,116,2561051,12805.25,汪甜
487户蜂农酿造的土蜂蜜，为你揭秘从0到2100万的突破,广元市,农业,77,4920001,4920.00,王淑娟
千年传承的奉化水蜜桃，每100个桃子，只有一个桃王,宁波市,农业,112,307228,6144.56,蒋咪
346亩野生林场，传承180年古法耕种，只为一朵野生“白莲”,巴中市,农业,145,1431510,2863.02,黎涛
一碗能发芽的活米，是健康生活方式的开始,沈阳市,农业,41,23613,2361.30,刘巍巍
15年杭城老牌美业“三菩提”，开创女性第三生活空间,杭州市,休闲,61,1180002,1180.00,王飞燕
大陆阿里山上，137万株「喝豆浆长大」的乌龙好茶,厦门市,农业,107,193653,9682.65,许晓桢
5000元帮您开一家智能精酿啤酒工坊,南京市,餐饮,50,344050,6881.00,韩汝忠
以极简的方式，让“冰岛”不再遥不可及,临沧市,农业,46,95640,191.28,张宇
上海露香水蜜桃，咪道老好了！,浦东新区,农业,197,220341,4406.82,仇明惠
超级物种，天山下的水果王国,阿克苏地区,农业,193,10634680,10634.68,曾湘娥
拥有「泰国绿卡」的民宿，国人在海外的另一个家,徐州市,民宿,60,1603724,1603.72,李娜
用一颗无添加的纯手工鱼丸，留住即将遗失的至味,淮安市,农业,139,44971,4497.10,孙兰
100%入住率的智派公寓，又来啦！,深圳市,酒店,130,5187004,5187.00,李雅娟
Amazing！唤起你漫步曼谷街头的美味记忆，正泰二度来袭,北京市,餐饮,81,3425001,3425.00,刘明明
让人无法抗拒的超高颜值烘焙店，圆你一道彩虹色的梦,北京市,餐饮,23,4600000,460000.00,邹寒露
枕着国宝入睡，当真不来一场博物馆奇妙之夜吗？,苏州市,民宿,77,1960003,1960.00,王州育
来绽放的大本营，过两天精致悠闲的苏式小隐生活,苏州市,休闲,18,40204,804.08,袁永任
以色列团队、中国热作院合作的26度果园，打造600亩芒果地标,攀枝花市,农业,150,5803741,5803.74,卜凡
遇见型象，让你的生活不将就，更有型！,福州市,民宿,130,3569003,3569.00,邓建华
在雅鲁藏布大峡谷里，建一座面朝南迦巴瓦峰的石头房子,林芝市,民宿,14,399000,399.00,扎西
一瓶爆款IP精酿，定制你的与众不同,南京市,餐饮,141,102396,204.79,王彦入
太湖边，这家民宿有点鲜,苏州市,民宿,147,2074118,2074.12,沈俊
十年努力为艺术变现，打造五星级酒店内的商业艺术空间,杭州市,休闲,13,610000,12200.00,陈堃
熬煮八小时的汤底，这一口火锅要让食物本味尽现,杭州市,餐饮,46,810002,810.00,余昌松
龙泉郭家兴宝剑，大国非遗工匠之作,丽水市,休闲,25,66876,668.76,郭家兴
自建4000㎡物流中心，打造“农庄+物联+餐饮”全产业链王国,丽江市,餐饮,74,3789587,315.80,和景桥
后海的这家冲浪俱乐部，可以告诉你自由的N种方式,三亚市,民宿,124,4351552,4351.55,袁孟
这家广州城市民宿，把每间客房做成网红,广州市,民宿,152,1368000,2736.00,陈亮
5年打造的北隍城岛海洋综合体，为你打开2700亩“海底银行”,烟台市,农业,302,18120031,18120.03,王兆信
年均1000吨产能的深耕，与您共建854.11亩生态农场,安顺市,农业,57,3870010,3870.01,罗莉
搜合体，高级定制服装的魅力，只为你一人绽放。,北京市,休闲,165,692048,6920.48,郝一凡
18年积累，5000亩基地，我想再造一个葡萄王国,南平市,农业,40,5313332,265666.60,吴良麟
自带30万粉丝的视频媒体——心灵复苏，要开第三家民宿了,保山市,民宿,42,1120001,2240.00,王继军
成龙跑来拍电影，万亩梯田，七星伴月，摄影家的天堂之地,桂林市,民宿,21,1040001,2080.00,李漓云
《前任3》导演pick的公寓品牌，高颜值、高品质、高效率,成都市,民宿,77,3270003,3270.00,雷航铭
这家啤酒仓，要给365天365种不同的精酿,南京市,餐饮,52,810000,810.00,杨明
一位大叔在千亩盐碱滩上种植梦想，四年后收获放心粮,北京市,农业,15,2331,233.10,王淦
小米投资的抖音洗手神器，10秒钟，让宝宝爱上洗手,杭州市,休闲,59,145726,7286.30,王冲
星也共享家，给有梦想的年轻人乌托邦式的生活,长沙市,民宿,18,729003,729.00,陈韦光
山水重庆，千年龚滩古镇，我在乌江百里画廊等你！,重庆市,民宿,52,2059003,2059.00,勾兴祖
乐仕尼儿童成长中心，一站式承包孩子的童年,北京市,休闲,35,1207002,1207.00,范博瑞
白鹿原，原上人未老 白鹿今犹在,西安市,农业,139,13750499,13750.50,林浩
有了这个宝贝，随时吃上《舌尖上的中国》里的腌笃鲜,杭州市,农业,61,5642,564.20,胡玲丽
央视都打call的五号山谷，现在邀你一起做谷主了！,张家界市,民宿,140,6525414,6525.41,陈玉林
夏知秋，年轻人指定的网红四果汤,厦门市,餐饮,64,1160001,23200.02,张英林
德甲官方盖章的猪肘子，又来了,黄浦区,餐饮,154,12045004,6022.50,蒋幼淳
东山岛金牌海钓团队，带你见识这片海域的644种野生鱼鲜,漳州市,餐饮,17,389193,19459.65,姚跃鹏
玉龙雪山下，寻找最初的丽江印象,丽江市,民宿,222,2912003,2912.00,苏力
夏天的味道，要吃过这14种葡萄才知道,淮安市,农业,118,2082006,4164.01,刘卫春
风靡日本300年健康烤炙料理，沪上炉端烧TOP3,徐汇区,餐饮,361,1480002,1480.00,陈佳
连央爸爸都来安利的青钱柳，不被“糖”塞的爱,杭州市,农业,698,389563,19478.15,廖文
中央厨房冷链配送，打造炸食界的“劳斯莱斯”,杭州市,餐饮,168,480002,960.00,孙姣
冲浪、音乐、酒吧，用一家民宿把梦想做到极致,三亚市,民宿,410,3667501,3667.50,吴竹
金海雪山上的自然营地，悬岩峭壁边的童年野趣,黔南布依族苗族自治州,休闲,244,2880008,2880.01,杨海东
京城三里屯内，诞生了一个匠人精神打造的美食联合王国,北京市,餐饮,139,980003,9800.03,章华晖
一头健康秀发，是变美的头等大事,广州市,休闲,640,54680,1093.60,谭文思
不管说走就走还是离家出走，居派都把你带回家,北京市,民宿,428,4890000,9780.00,何国建
惊动《中国国家地理》的恩施仙境，开了一家极美的民宿,恩施土家族苗族自治州,民宿,324,4270000,4270.00,殷昱萌
开罐即食的网红麻辣小海鲜，才是夏天零食正确的打开方式！,烟台市,农业,743,4200003,4200.00,顾殿兴
装满束河99%阳光的民宿，带你探索评分4.9的高入住率之谜,丽江市,民宿,296,2053200,2053.20,舒文华
让家里的座椅变成艺术品，把生活折叠成想要的样子,杭州市,休闲,1133,187339,9366.95,刘江华
互联网+智慧超市，开启社区智慧新生活,苏州市,休闲,411,3468057,3468.06,窦阳
共享别墅来了！在三亚与晓燕艺墅一起度个假,三亚市,民宿,382,4712003,4712.00,朱中哗
760个日夜的匠心之作，这座百年庭院要给你一场穿越时空的对话,黄山市,民宿,411,2960067,2960.07,朱相君
有个Ta，敢把海鲜市场搬进店里的“黑科技”餐厅,西安市,餐饮,391,2350002,23500.02,朱鹏前
拒绝成为佳沛供货商后，这颗猕猴桃做了亲子研学,杭州市,农业,633,2363069,2363.07,程德良
进贡泰国皇室的金枕榴莲，金黄软糯果肉饱满，不来一口此生遗憾,泰国,农业,1323,3657228,73144.56,刘林祥
在岛上的小屋，把民谣一句一句唱进梦里,青岛市,民宿,291,1684053,1684.05,陈浩
3万亩高寒牧场，拥有全球28%的珍稀白牦牛，隐藏着数万亿市场,武威市,农业,709,1878138,1878.14,陈龙
从线上到线下，酒牛炭炉打破传统点单模式，直击你的胃,上海市,餐饮,250,2400003,4800.01,张扶正
厦门这家科技美肤中心，漂亮的人都爱来,厦门市,休闲,60,330000,660.00,张飞雪
纳达瑜伽，了解我们身体的每一个小秘密,厦门市,休闲,293,4700058,4700.06,张美影
去坦桑，在非洲草原上再次绽放,坦桑尼亚,休闲,53,792851,1585.70,袁永任
封笔之作：择一事，终一生，探秘西藏唐卡的千年不褪,拉萨市,休闲,416,26010,2601.00,周婵
亚朵的茶，高山云雾，匠心跨界为你而来,怒江傈僳族自治州,农业,705,14120,706.00,耶律胤
锐向锻造轮毂，为你订制独一无二,台州市,休闲,193,268800,26880.00,姜义慧
这份很好吃的沙拉，做到了厦门沙拉界头牌,厦门市,餐饮,475,1014002,33800.07,卓毓炜
市区商圈中心自持物业，提供五星级全孕期一站式服务,兰州市,休闲,116,3200202,6400.40,陈大鹏
金陵悠山，在微风山谷里回归田园生活,南京市,民宿,291,1003055,1003.05,沙烨
40岁，我放弃公司所有业务，只为寻找真正的手作人,杭州市,休闲,509,19112,1911.20,朱富宾
拿过国家专利的海参才敢买,大连市,农业,417,4514,451.40,赵树全
老佛爷钦点的水晶杨梅了解下？白皙如玉，更甜更爽,绍兴市,农业,1315,117967,11796.70,侯立波
回忆的尽头，是桥边那幢小楼,黄山市,休闲,167,487501,2437.51,王东东
在漂亮这件事上，姿整汇做得漂亮,广州市,休闲,479,1875053,1875.05,杨靓
75%西湖龙井产自这个千年茶镇，好吃好玩的茶系度假，了解一下,杭州市,民宿,396,3630986,3630.99,郑红伟
超18°甜的“小傻瓜”，给你过个甜蜜六月,青岛市,农业,1057,401173,40117.30,崔荣华
0租金！在占地25335㎡的创意商业区，感受千年古城的风韵,枣庄市,休闲,93,1218000,121800.00,周玉鹏
佘诗曼在魔都的秘密基地，开辟中式按摩新场景,上海市,休闲,246,4000002,8000.00,杨敏
白马里，丽江古城仅有的清幽雅致之地,丽江市,民宿,284,2317508,2317.51,高杨
20年踏遍青藏高原，只为寻一朵野生食材,林芝市,农业,665,584560,29228.00,温向阳
远古冰川臻藏，守护母婴健康,北京市,农业,513,15507,1550.70,崔小飞
在翡翠大王的百年宅院，享受时光倒流,保山市,民宿,336,2547204,2547.20,罗燕
中医女神的新型中医馆，要做杭城zui美,杭州市,休闲,521,4880538,2440.27,李晓迪
五星级全护士母婴健康会所，与你共建百亿级新生市场,兰州市,休闲,250,18750128,18750.13,崔正旭
3000万客流入口的古城艺术餐厅，来自东巴秘境的生态礼物,丽江市,餐饮,751,6990002,1398.00,李兆西
距离神仙眷顾的避世秘境，只差一个尕那美朵,甘南藏族自治州,民宿,280,2700053,2700.05,张滨娜
在中国的「犹太区」，他拿下了东海边视野最好的山头,温州市,民宿,163,600002,600.00,郭文辉
这家闹中取静的客栈，唤起了每个人心中的曾经,武汉市,民宿,155,554000,554.00,林付彬
每次沐浴都是一段旅行,杭州市,休闲,1015,252273,12613.65,夏琛
每一枚龙窑柴烧建盏，凝聚30年匠心之作,南平市,休闲,537,53396,2669.80,施国英
拿过国家专利的贵妃鸡，养在13万平米的高山森林,龙岩市,农业,463,2423378,2423.38,雷金荣
净赚200W都不卖！江边破屋变美宅，携程评分4.9，零差评,黄山市,民宿,474,3150001,3150.00,吴增和
植物私塾，治疗你的“自然缺失症”,杭州市,休闲,388,57328,573.28,张新宇
一吸就停不下来的雀雀，带你见识渤海野生海鲜,烟台市,农业,592,4101930,136731.00,薛芳
100000+女生都在喝的网红酒，你不尝一下吗？,宿州市,农业,1015,556262,55626.20,吴信召
在西藏林芝，每个人都有一所自己的房子,林芝市,民宿,366,3098006,3098.01,樊敬芳
龙王村山谷里藏了家民宿，来过的人都说它是《武林外传》,湖州市,民宿,282,1310003,1310.00,王剑
